MSOA11 Code,MSOA name,LAD11CD,Borough name,Mid-2014 population,Area Sq Km,People per Sq Km
E02000001,City of London 001,E09000001,City of London," 8,072 ",2.90,"2,786"
E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham," 7,235 ",2.16,"3,347"
E02000003,Barking and Dagenham 002,E09000002,Barking and Dagenham," 10,732 ",2.14,"5,011"
E02000004,Barking and Dagenham 003,E09000002,Barking and Dagenham," 6,419 ",2.49,"2,575"
E02000005,Barking and Dagenham 004,E09000002,Barking and Dagenham," 9,056 ",1.19,"7,622"
E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham," 9,398 ",1.74,"5,414"
E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham," 12,108 ",1.42,"8,527"
E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham," 9,689 ",0.96,"10,086"
E02000010,Barking and Dagenham 009,E09000002,Barking and Dagenham," 9,182 ",1.12,"8,189"
E02000011,Barking and Dagenham 010,E09000002,Barking and Dagenham," 6,572 ",1.59,"4,123"
E02000012,Barking and Dagenham 011,E09000002,Barking and Dagenham," 10,661 ",1.30,"8,199"
E02000013,Barking and Dagenham 012,E09000002,Barking and Dagenham," 8,685 ",1.30,"6,657"
E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham," 9,659 ",1.19,"8,098"
E02000015,Barking and Dagenham 014,E09000002,Barking and Dagenham," 7,708 ",1.36,"5,660"
E02000016,Barking and Dagenham 015,E09000002,Barking and Dagenham," 8,470 ",0.89,"9,558"
E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham," 8,894 ",0.88,"10,147"
E02000018,Barking and Dagenham 017,E09000002,Barking and Dagenham," 9,229 ",1.36,"6,797"
E02000019,Barking and Dagenham 018,E09000002,Barking and Dagenham," 8,980 ",3.04,"2,956"
E02000020,Barking and Dagenham 019,E09000002,Barking and Dagenham," 11,016 ",3.42,"3,222"
E02000021,Barking and Dagenham 020,E09000002,Barking and Dagenham," 8,628 ",2.88,"2,995"
E02000022,Barking and Dagenham 021,E09000002,Barking and Dagenham," 8,555 ",0.75,"11,423"
E02000023,Barking and Dagenham 022,E09000002,Barking and Dagenham," 6,644 ",1.75,"3,807"
E02006799,Barking and Dagenham 023,E09000002,Barking and Dagenham," 10,774 ",1.16,"9,258"
E02000024,Barnet 001,E09000003,Barnet," 10,813 ",3.75,"2,881"
E02000025,Barnet 002,E09000003,Barnet," 8,326 ",2.40,"3,466"
E02000026,Barnet 003,E09000003,Barnet," 6,586 ",1.47,"4,493"
E02000027,Barnet 004,E09000003,Barnet," 9,938 ",1.67,"5,935"
E02000028,Barnet 005,E09000003,Barnet," 6,544 ",1.06,"6,199"
E02000029,Barnet 006,E09000003,Barnet," 8,908 ",1.68,"5,288"
E02000030,Barnet 007,E09000003,Barnet," 9,404 ",14.58,645
E02000031,Barnet 008,E09000003,Barnet," 7,486 ",1.94,"3,861"
E02000032,Barnet 009,E09000003,Barnet," 8,043 ",1.40,"5,754"
E02000033,Barnet 010,E09000003,Barnet," 8,859 ",1.78,"4,988"
E02000034,Barnet 011,E09000003,Barnet," 8,854 ",1.56,"5,682"
E02000035,Barnet 012,E09000003,Barnet," 8,426 ",1.30,"6,494"
E02000036,Barnet 013,E09000003,Barnet," 11,347 ",1.79,"6,323"
E02000037,Barnet 014,E09000003,Barnet," 9,563 ",4.32,"2,211"
E02000038,Barnet 015,E09000003,Barnet," 11,090 ",1.76,"6,292"
E02000039,Barnet 016,E09000003,Barnet," 6,941 ",2.13,"3,256"
E02000040,Barnet 017,E09000003,Barnet," 7,309 ",5.16,"1,418"
E02000041,Barnet 018,E09000003,Barnet," 9,471 ",1.35,"7,020"
E02000042,Barnet 019,E09000003,Barnet," 11,438 ",1.21,"9,433"
E02000043,Barnet 020,E09000003,Barnet," 7,844 ",1.47,"5,338"
E02000044,Barnet 021,E09000003,Barnet," 8,509 ",1.11,"7,684"
E02000045,Barnet 022,E09000003,Barnet," 10,825 ",1.74,"6,239"
E02000046,Barnet 023,E09000003,Barnet," 7,306 ",0.97,"7,537"
E02000047,Barnet 024,E09000003,Barnet," 12,058 ",1.42,"8,477"
E02000048,Barnet 025,E09000003,Barnet," 10,163 ",3.08,"3,295"
E02000049,Barnet 026,E09000003,Barnet," 8,860 ",0.79,"11,238"
E02000050,Barnet 027,E09000003,Barnet," 10,685 ",2.12,"5,039"
E02000051,Barnet 028,E09000003,Barnet," 8,978 ",1.45,"6,197"
E02000052,Barnet 029,E09000003,Barnet," 10,285 ",0.97,"10,612"
E02000053,Barnet 030,E09000003,Barnet," 11,393 ",1.55,"7,349"
E02000054,Barnet 031,E09000003,Barnet," 7,593 ",1.50,"5,061"
E02000055,Barnet 032,E09000003,Barnet," 11,739 ",1.44,"8,151"
E02000056,Barnet 033,E09000003,Barnet," 9,041 ",3.23,"2,802"
E02000057,Barnet 034,E09000003,Barnet," 7,718 ",1.09,"7,052"
E02000058,Barnet 035,E09000003,Barnet," 10,663 ",1.81,"5,880"
E02000059,Barnet 036,E09000003,Barnet," 11,405 ",2.19,"5,199"
